player_id	team_id	team_name	Jersey	Player	Yr	Pos	GP	GS	G	BA	OBPct	SlgPct	R	AB	H	2B	3B	TB	HR	RBI	BB	HBP	SF	SH	K	DP	CS	Picked	SB	RBI2out
1981614	228	Florida A&M	9	Clark, Chris	Jr	P	10	0	0	0.000	0.400	0.000	0	3	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
1652794	228	Florida A&M	14	Fillingim, Hunter	Sr	P	6	0	0	0	1.000	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1871294	228	Florida A&M	16	Wilkinson, Garrett	Sr	OF	6	5	0	0.286	0.333	0.357	4	14	4	1	0	5	0	2	1	0	0	0	4	0	0	0	0	0
1871306	228	Florida A&M	44	Blanc, Jr., Eric	So	OF	6	3	0	0.083	0.154	0.083	2	12	1	0	0	1	0	0	1	0	0	0	6	1	0	0	0	0
1652799	228	Florida A&M	30	Martin, Dexter	Sr	OF	5	0	0	0.250	0.400	0.250	0	4	1	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0
1766369	164	UConn	27	Toppa, John	Jr	OF	56	56	0	0.279	0.371	0.356	33	222	62	8	3	79	1	25	27	7	3	3	48	5	6	0	11	0
1639042	164	UConn	3	Stefanski, Troy	Sr	OF	56	55	0	0.319	0.372	0.441	42	213	68	9	1	94	5	32	17	2	2	3	21	8	6	0	11	0
1870951	164	UConn	1	Prato, Anthony	So	INF	55	55	0	0.319	0.385	0.389	40	226	72	9	2	88	1	22	16	11	4	2	21	4	6	0	18	0
1974531	164	UConn	8	Woodworth, Michael	Jr	UT	55	53	0	0.302	0.362	0.402	28	189	57	5	1	76	4	22	12	7	2	11	22	3	0	0	12	0
1870955	164	UConn	11	Winkel, Chris	So	OF	55	51	0	0.269	0.338	0.392	21	186	50	11	0	73	4	31	15	5	1	4	63	3	5	0	6	0
1870945	164	UConn	26	Feldstein, Isaac	Sr	OF	53	53	0	0.269	0.359	0.548	40	197	53	12	2	108	13	40	21	9	4	0	69	4	1	0	5	0
1870949	164	UConn	20	Moriarty, Conor	So	INF	53	38	0	0.217	0.322	0.380	22	129	28	9	0	49	4	17	16	5	2	3	44	1	2	0	5	0
1766366	164	UConn	23	Susi, Zac	Jr	C	52	52	0	0.328	0.410	0.399	29	198	65	9	1	79	1	33	24	5	2	0	28	2	1	0	2	0
1974504	164	UConn	7	Fedko, Christian	Fr	INF	50	48	0	0.246	0.305	0.316	18	171	42	12	0	54	0	28	11	5	3	0	27	5	1	0	1	0
