team_id	team_name	team_games	team_BA	team_OBPpct	team_SLGpct	team_AB	team_R	team_H	team_2B	team_3B	team_TB	team_HR	team_RBI	team_BB	team_HBP	team_SF	team_SH	team_K	team_DP	team_SB	team_CS	team_Picked	opp_team_games	opp_team_BA	opp_team_OBPpct	opp_team_SLGpct	opp_team_AB	opp_team_R	opp_team_H	opp_team_2B	opp_team_3B	opp_team_TB	opp_team_HR	opp_team_RBI	opp_team_BB	opp_team_HBP	opp_team_SF	opp_team_SH	opp_team_K	opp_team_DP	opp_team_SB	opp_team_CS	opp_team_Picked
275	Harvard		0.268	0.364	0.383	1,451	261	389	60	7	556	31	235	184	44	15	11	367	34	37	14			0.287	0.381	0.401	1,329	248	381	63	7	533	25	218	160	52	14	15	314	30	46	14	
277	Hawaii		0.268	0.350	0.376	1,661	220	445	93	4	624	26	200	195	21	14	47	319	53	10	12			0.269	0.339	0.379	1,430	209	384	93	7	542	17	188	129	29	13	25	279	40	36	15	
83	Bucknell		0.252	0.357	0.359	1,386	213	349	74	16	497	14	197	212	28	26	24	344	44	40	13			0.257	0.383	0.363	1,282	241	329	69	7	466	18	213	219	61	27	28	323	25	42	14	
80	Brown		0.244	0.321	0.350	1,290	171	315	49	9	451	23	157	112	38	10	13	315	16	39	9			0.290	0.372	0.439	1,288	224	373	64	6	566	39	201	124	58	21	13	212	38	43	11	
81	Bryant		0.303	0.390	0.446	1,932	376	585	106	18	862	45	334	219	78	31	28	337	40	49	15			0.267	0.371	0.363	1,488	250	397	77	6	540	18	214	219	39	19	20	353	37	40	20	
703	Texas		0.272	0.379	0.430	1,859	340	505	94	21	800	53	306	276	60	26	45	421	29	70	21			0.270	0.369	0.391	1,687	257	456	78	12	660	34	233	218	53	10	23	356	59	43	23	
87	Butler		0.272	0.365	0.382	1,871	324	508	107	20	715	20	280	238	55	29	28	407	35	46	16			0.253	0.344	0.330	1,450	192	367	48	5	479	18	168	176	34	17	23	366	38	39	15	
797	Milwaukee		0.279	0.354	0.389	1,844	301	514	89	12	717	30	269	162	61	15	16	410	46	74	18			0.265	0.363	0.369	1,465	256	388	70	7	541	23	225	183	54	18	23	355	39	49	18	
792	Winthrop		0.257	0.332	0.375	1,876	265	482	90	13	703	35	235	190	29	16	21	457	44	39	12			0.271	0.345	0.397	1,588	262	430	70	10	631	37	232	153	36	15	19	362	20	87	16	
536	UTRGV		0.243	0.339	0.338	1,808	243	439	67	12	611	27	202	207	64	14	21	513	41	26	15			0.267	0.360	0.394	1,599	253	427	76	11	630	35	235	201	41	17	19	390	51	39	15	
513	Notre Dame		0.273	0.366	0.409	1,837	299	502	89	13	752	45	270	222	58	20	29	363	45	48	21			0.259	0.382	0.388	1,554	274	402	71	5	603	40	245	265	59	25	29	317	38	57	23	
772	Western Ky.		0.272	0.353	0.382	1,770	259	482	65	12	676	35	241	179	55	27	22	382	47	56	24			0.274	0.368	0.403	1,623	254	444	91	7	654	35	234	209	44	19	24	380	29	61	13	
257	Georgia		0.282	0.366	0.417	1,922	347	542	80	7	801	55	319	225	44	24	32	431	46	43	14			0.228	0.328	0.332	1,562	192	356	58	4	518	32	181	188	52	15	14	418	39	38	17	
14927	Belmont		0.272	0.364	0.404	1,935	311	526	108	14	782	40	286	255	39	22	19	399	38	75	15			0.291	0.379	0.436	1,666	342	484	85	8	726	47	308	193	57	22	29	372	36	63	20	
428	Minnesota		0.300	0.392	0.434	1,847	367	555	99	12	801	41	328	263	41	39	43	356	37	64	20			0.230	0.313	0.318	1,485	179	342	61	6	472	19	155	144	42	14	18	338	38	23	11	
527	Oral Roberts		0.285	0.379	0.408	1,892	347	540	95	13	772	37	318	258	39	19	40	505	34	38	14			0.236	0.334	0.339	1,461	205	345	46	10	495	28	181	180	44	17	29	403	35	29	9	
651	South Fla.		0.299	0.377	0.469	1,943	357	581	142	15	912	53	323	187	70	22	16	473	42	42	18			0.226	0.316	0.315	1,455	171	329	59	5	458	20	148	165	33	15	13	447	30	35	18	
