game_id	game_date	away_team_id	away_team_name	away_g	away_r	away_ab	away_h	away_two_b	away_three_b	away_total_b	away_hr	away_rbi	away_bb	away_hbp	away_sf	away_sh	away_k	away_dp	away_sb	away_cs	away_picked	home_team_id	home_team_name	home_g	home_r	home_ab	home_h	home_two_b	home_three_b	home_total_b	home_hr	home_rbi	home_bb	home_hbp	home_sf	home_sh	home_k	home_dp	home_sb	home_cs	home_picked	neutral
4574895	05/01/2018	/team/137/12973	Chicago		3	32	6	1		13	2	3	3				5		1			/team/302/12973	Ill.-Chicago		6	31	6	1		10	1	6	8	1			7		1			0
4574896	05/01/2018	/team/283/12973	Hofstra			39	9	1	1	12			3	1			21				2	/team/236/12973	Fordham		1	35	7	1		8		1	3	1		1	12	1	1		4	0
4509391	02/27/2018	/team/454/12973	Murray St.		6	32	8	2		13	1	5	4			1	15	1	1			/team/433/12973	Ole Miss		7	34	10	2		12		6	8	1			7	1			3	0
4574892	05/01/2018	/team/9/12973	UAB		5	34	8	2		10		5	2	4			11		1		1	/team/625/12973	Samford		7	29	9	3		15	1	6	4		1	1	6		2			0
4574893	05/01/2018	/team/9081/12973	Concordia-St. Paul			31	5	1		6			1				8	1	1			/team/428/12973	Minnesota		5	28	6	3		12	1	5	5			1	2		1		2	0
4574898	05/01/2018	/team/702/12973	UT Arlington		3	32	8	1	2	13		3	3	1	1		12	2				/team/1045/12973	DBU		5	32	8	2		10		5	9	3			10				1	0
4574899	05/01/2018	/team/698/12973	TCU		4	33	11	1		12		4	1	1	2		6	2			3	/team/2/12973	Abilene Christian			34	7	1		8			1				8				1	0
4545628	04/03/2018	/team/630/12973	San Jose St.		3	33	8			8		3	4	1			1	1			1	/team/108/12973	UC Davis		7	32	13	4		17		7	4	1	1		4	3	1		3	0
4545627	04/03/2018	/team/228/12973	Florida A&M		1	26	5			5		1	2	3	1	2	10	1	1			/team/316/12973	Jacksonville		2	31	8	1		9		1	7				5	1				0
4545626	04/03/2018	/team/810/12973	Wright St.		5	30	10	2		21	3	5	3				4	1	1		1	/team/140/12973	Cincinnati		1	22	5	1		6		1	3				2	1				0
4545625	04/03/2018	/team/817/12973	Youngstown St.		5	31	7		1	15	2	5	4		1	1	11		1			/team/545/12973	Pittsburgh		9	33	12	1		13		9	7	2	1	2	6	2			1	0
4536941	03/25/2018	/team/485/12973	Norfolk St.		6	36	11	1		12		5	2		1	1	4				3	/team/393/12973	UMES		7	37	14	3		17		5	1	3	1	1	3	1			5	0
4563020	04/20/2018	/team/416/12973	Michigan St.		5	33	9	1		13	1	5	3	1			5	2	1		5	/team/509/12973	Northwestern		3	33	7	1		8		2	1	1		1	11					0
4536762	03/24/2018	/team/136/12973	Chicago St.		5	34	8			11	1	3	3	1		1	9	1	1			/team/1104/12973	Grand Canyon		13	39	15	4		22	1	11	10	3			2				2	0
4536949	03/25/2018	/team/632/12973	Savannah St.		2	30	3			6	1	2	1				12	1				/team/489/12973	N.C. Central		10	35	11	4		15		10	7	2			6				5	0
4532999	03/20/2018	/team/500/12973	Northeastern		7	70	17	3	2	24		6	9	1			6	2	1		3	/team/67/12973	Boston College		4	64	13	3		16		4	6		1	1	11	2	1		5	0
4496280	02/16/2018	/team/649/12973	South Dakota St.		2	32	7			10	1	2	2		1		10		1			/team/43/12973	Austin Peay		4	26	4	1		5		3	8	2		1	6	1				1
4500632	02/16/2018	/team/416/12973	Michigan St.		4	30	5	1		9	1	3	6	2			9	3			1	/team/96/12973	Fresno St.		5	34	8	2		10		5	5	2		1	17				1	0
4564556	04/21/2018	/team/439/12973	Monmouth		8	29	11	4	1	23	2	8	5	2		1	5		1			/team/482/12973	Niagara		5	29	10	1	1	13		5	4				7	1				0
4583654	05/18/2018	/team/99/12973	Long Beach St.		7	31	10	2		12		6	7		1	4	4	2			2	/team/277/12973	Hawaii		2	34	8	2		10		1	2				3	2			1	0
4548883	04/07/2018	/team/646/12973	South Ala.		7	36	8	2		19	3	6	7	1			8					/team/149/12973	Coastal Caro.		14	36	12	2		20	2	14	7	3	1		10					0
4556885	04/14/2018	/team/116/12973	Canisius		13	39	12	4	1	24	2	12	6	2	2	2	10				1	/team/310/12973	Iona		4	34	10			13	1	3	5	2	1		4	2			2	0
4538340	03/26/2018	/team/178/12973	Delaware St.		2	37	6	1		7		2	2		1	1	3	1			2	/team/165/12973	Coppin St.		3	44	13	1		14		2	5			1	20		1		6	1
4506776	02/25/2018	/team/352/12973	Lehigh		5	32	6	1		7		5	4	1			8	1			1	/team/488/12973	N.C. A&T		11	34	12	3	1	20	1	9	3	2	1		8	1			2	0
4554035	04/11/2018	/team/695/12973	UT Martin		1	27	3	1		4		1	7				5	2				/team/694/12973	Tennessee		15	36	12	3		18	1	12	14	1			12		1		1	0
4528494	03/16/2018	/team/235/12973	Florida		7	35	9	1		13	1	7	7	1			10				2	/team/648/12973	South Carolina		3	33	6	1		10	1	3	3	2			8	1			2	0
4554039	04/11/2018	/team/562/12973	Quinnipiac		5	36	8	2		10		4	2	2			5				2	/team/67/12973	Boston College		9	30	10		1	12		9	2	1	2	1	2		2		6	0
4506779	02/25/2018	/team/632/12973	Savannah St.		4	30	8			11	1	3	6	3		1	7	1	2			/team/128/12973	UCF		15	36	14	7		21		13	10	3		1	6	2			6	0
4574093	04/29/2018	/team/444/12973	Morehead St.		7	35	9			12	1	7	5		1		6	1				/team/201/12973	Eastern Ill.		5	37	11	1		18	2	5	4	1		1	7	1				0
4530591	03/18/2018	/team/167/12973	Cornell		3	34	6			6		3	6				12		1		2	/team/236/12973	Fordham		5	27	4	2		6		3	10	3		1	7				6	0
4507175	02/25/2018	/team/669/12973	Missouri St.		5	34	7	3	1	12		5	3				10				1	/team/1004/12973	Central Ark.		2	31	6	1		7		2	7	5			7	2	1		2	0
4507173	02/24/2018	/team/272/12973	Hartford		3	37	12	3		15		2	2			1	13	1	1		2	/team/646/12973	South Ala.		6	34	10	2		15	1	5	8				5		1		2	0
4500181	02/18/2018	/team/140/12973	Cincinnati		7	34	8	1		12	1	7	4	3	2	2	4	1			1	/team/627/12973	San Diego		4	38	12	2		14		4	4		1		8	1			1	0
4500182	02/17/2018	/team/721/12973	Air Force		1	30	6			9	1	1	2	1		1	11	1	1		1	/team/277/12973	Hawaii		4	30	11	5		16		3	3		1	2	7	2	1			0
4499719	02/17/2018	/team/164/12973	UConn		10	39	15	3		18		8	2	4			6	2	3		1	/team/254/12973	Georgia St.		1	30	3	1		4		1	3	1			8					0
4514942	03/04/2018	/team/29/12973	Arizona		2	29	4	2		6		2	3	1	1		5				1	/team/416/12973	Michigan St.		3	33	7	2		9		3		1		1	3					1
4524087	03/12/2018	/team/248/12973	George Mason		12	45	15	2		20	1	11	2	3			12				1	/team/231/12973	FIU		8	40	12	2		23	3	6	1	2		1	5				1	0
4547807	03/31/2018	/team/500/12973	Northeastern		3	36	10	2		15	1	3	3	1			11	1			1	/team/317/12973	James Madison		6	26	11	2		13		6	5		1	5	6	1	1			0
4553006	04/10/2018	/team/523/12973	Old Dominion		3	32	7			7		3	5	1		1	6	1	1		1	/team/786/12973	William & Mary		4	31	9	2		11		4	5			2	8				1	0
4550480	04/08/2018	/team/61/12973	Bethune-Cookman		9	37	17	5	1	24		9	6		1	1	3	2	1			/team/632/12973	Savannah St.		5	32	8	1		9		4	6	2		2	3	1				0
4539160	03/27/2018	/team/363/12973	Longwood			28	1			1			3				9	1				/team/746/12973	Virginia		6	27	8	1		9		5	8	1	1	3	4	1	1		3	0
4513996	03/03/2018	/team/361/12973	LIU Brooklyn		7	39	12	3		15		7	8	2			13				3	/team/632/12973	Savannah St.		5	34	9	3		15	1	5	7	2	1		9				1	0
4513997	03/04/2018	/team/101/12973	CSUN		6	33	8	1		15	2	6	1	1			3	2				/team/735/12973	Valparaiso		5	35	12			12		5	1	1	1	1	5	2				1
4513994	03/04/2018	/team/361/12973	LIU Brooklyn		2	30	5			8	1	2	7			1	9	1	1			/team/632/12973	Savannah St.		3	29	4			4		2	5				9	1			2	0
4513337	03/03/2018	/team/433/12973	Ole Miss		3	32	6	3		9		2	2	1		1	7	1			1	/team/99/12973	Long Beach St.		4	31	8	2		10		4	3		1	1	4				6	0
4512069	03/03/2018	/team/554/12973	Princeton		5	42	13	1		17	1	5	1				17					/team/460/12973	UNCW		8	30	7	1		14	2	7	9	2	2		11	1				0
4543417	03/31/2018	/team/703/12973	Texas		9	36	10	2		12		9	7	2		2	5		1			/team/327/12973	Kansas St.		5	32	9	1		13	1	5	5			1	5	1	1		2	0
4499577	02/18/2018	/team/695/12973	UT Martin		1	30	4			4		1	7				9	1			1	/team/716/12973	Troy		12	37	13	2		30	5	11	4				8	1			2	0
4543415	03/31/2018	/team/769/12973	Western Caro.		2	33	6	1		7		2	3	1		1	4				1	/team/2915/12973	Wofford		3	26	6	1		7		1	5	3		1	8	2	1		3	0
4543412	03/31/2018	/team/454/12973	Murray St.		4	30	3	1		4		4	7	2			10	1				/team/315/12973	Jacksonville St.		13	31	9	3	1	14		8	9	1	1		7	1				0
4499579	02/17/2018	/team/178/12973	Delaware St.			29	3			3			2	1			9	1			1	/team/632/12973	Savannah St.		2	24	4	1		8	1	2	2	3			8	1				0
4580652	05/11/2018	/team/639/12973	Siena		1	23	4			4		1	2			2	4					/team/439/12973	Monmouth		2	23	6	1		7		2	1	2			8		1			0
4565175	04/21/2018	/team/772/12973	Western Ky.		8	37	12	2	1	16		7	3	2	1	1	10	1				/team/9/12973	UAB		5	30	5	2		13	2	5	8			1	7		1			0
